Previous.National.Ranking,Name,Hometown,Position,Height.Weight,Rating,All Ratings,National.Ranking,Position.Ranking,State.Ranking,player.id,bball.ref.link
1,Shea Patterson," IMG Academy (Bradenton, FL)  ", PRO , 6-1.5 / 192 ,0.9982, 4 1 1 ,4,1,1,shea-patterson,https://www.sports-reference.com/cfb/players/shea-patterson-1.html
2,Jacob Eason," Lake Stevens (Lake Stevens, WA)  ", PRO , 6-5.5 / 208 ,0.9975, 5 2 1 ,5,2,1,jacob-eason,https://www.sports-reference.com/cfb/players/jacob-eason-1.html
9,KJ Costello," Santa Margarita Catholic (Rancho Santa Margarita, CA)  ", PRO , 6-4 / 213 ,0.9749, 47 3 7 ,47,3,7,kj-costello,https://www.sports-reference.com/cfb/players/kj-costello-1.html
4,Malik Henry," Long Beach Poly (Long Beach, CA)  ", PRO , 6-3 / 185 ,0.9747, 49 4 8 ,49,4,8,malik-henry,https://www.sports-reference.com/cfb/players/malik-henry-1.html
6,Feleipe Franks," Wakulla (Crawfordville, FL)  ", PRO , 6-5.5 / 210 ,0.9732, 54 5 9 ,54,5,9,feleipe-franks,https://www.sports-reference.com/cfb/players/feleipe-franks-1.html
3,Brandon Peters," Avon (Avon, IN)  ", PRO , 6-4.5 / 209 ,0.9684, 61 6 1 ,61,6,1,brandon-peters,https://www.sports-reference.com/cfb/players/brandon-peters-1.html
13,Jarrett Guarantano," Bergen Catholic (Oradell, NJ)  ", DUAL , 6-4 / 201 ,0.9628, 79 1 2 ,79,1,2,jarrett-guarantano,https://www.sports-reference.com/cfb/players/jarrett-guarantano-1.html
5,Dwayne Haskins," The Bullis School (Potomac, MD)  ", PRO , 6-3 / 198 ,0.9561, 91 7 3 ,91,7,3,dwayne-haskins,https://www.sports-reference.com/cfb/players/dwayne-haskins-1.html
11,Brandon McIlwain," Council Rock North (Newtown, PA)  ", DUAL , 6-0 / 200 ,0.9273, 175 2 6 ,175,2,6,brandon-mcilwain,https://www.sports-reference.com/cfb/players/brandon-mcilwain-1.html
19,Jack Allison," Palmetto (Palmetto, FL)  ", PRO , 6-5 / 200 ,0.9264, 176 8 28 ,176,8,28,jack-allison,https://www.sports-reference.com/cfb/players/jack-allison-1.html
21,Shane Buechele," Lamar (Arlington, TX)  ", DUAL , 6-2 / 185 ,0.925, 182 3 25 ,182,3,25,shane-buechele,https://www.sports-reference.com/cfb/players/shane-buechele-1.html
27,Austin Kendall," Cuthbertson High School (Waxhaw, NC)  ", PRO , 6-2 / 210 ,0.9239, 190 9 7 ,190,9,7,austin-kendall,https://www.sports-reference.com/cfb/players/austin-kendall-1.html
10,Jalen Hurts," Channelview (Channelview, TX)  ", DUAL , 6-2 / 208 ,0.9231, 192 4 29 ,192,4,29,jalen-hurts,https://www.sports-reference.com/cfb/players/jalen-hurts-1.html
12,Jawon Pass," Carver (Columbus, GA)  ", DUAL , 6-4 / 209 ,0.9209, 204 5 19 ,204,5,19,jawon-pass,https://www.sports-reference.com/cfb/players/jawon-pass-1.html
7,Patrick O'Brien," San Juan Hills (San Juan Capistrano, CA)  ", PRO , 6-4 / 225 ,0.9189, 209 10 29 ,209,10,29,patrick-o'brien,https://www.sports-reference.com/cfb/players/patrick-o'brien-1.html
16,Woody Barrett," West Orange (Orlando, FL)  ", DUAL , 6-2 / 225 ,0.9164, 218 6 31 ,218,6,31,woody-barrett,https://www.sports-reference.com/cfb/players/woody-barrett-1.html
20,Zerrick Cooper," Jonesboro (Jonesboro, GA)  ", DUAL , 6-4 / 206 ,0.912, 235 7 22 ,235,7,22,zerrick-cooper,https://www.sports-reference.com/cfb/players/zerrick-cooper-1.html
15,Messiah deWeaver," Wayne (Dayton, OH)  ", PRO , 6-4 / 215 ,0.9093, 245 11 11 ,245,11,11,messiah-deweaver,https://www.sports-reference.com/cfb/players/messiah-deweaver-1.html
14,Jake Bentley," Opelika (Opelika, AL)  ", PRO , 6-3.5 / 219 ,0.9068, 263 12 6 ,263,12,6,jake-bentley,https://www.sports-reference.com/cfb/players/jake-bentley-1.html
34,Devon Modster," Tesoro (Rancho Santa Margarita, CA)  ", PRO , 6-2 / 215 ,0.8964, 306 13 43 ,306,13,43,devon-modster,https://www.sports-reference.com/cfb/players/devon-modster-1.html
42,Dillon Sterling-Cole," Westfield (Houston, TX)  ", PRO , 6-3 / 200 ,0.8923, 326 14 52 ,326,14,52,dillon-sterling-cole,https://www.sports-reference.com/cfb/players/dillon-sterling-cole-1.html
18,Max Gilliam," Oaks Christian (Thousand Oaks, CA)  ", PRO , 6-3 / 190 ,0.8861, 357 15 47 ,357,15,47,max-gilliam,https://www.sports-reference.com/cfb/players/max-gilliam-1.html
32,Terry Wilson," Del City (Oklahoma City, OK)  ", DUAL , 6-2.5 / 187 ,0.8858, 359 8 2 ,359,8,2,terry-wilson,https://www.sports-reference.com/cfb/players/terry-wilson-1.html
26,Zach Smith," Grandview (Grandview, TX)  ", PRO , 6-3.5 / 223 ,0.8847, 365 16 58 ,365,16,58,zach-smith,https://www.sports-reference.com/cfb/players/zach-smith-1.html
54,Seth Green," Allen (Allen, TX)  ", DUAL , 6-4 / 216 ,0.8813, 389 9 62 ,389,9,62,seth-green,https://www.sports-reference.com/cfb/players/seth-green-1.html
17,Skylar Thompson," Fort Osage (Independence, MO)  ", DUAL , 6-2 / 195 ,0.8783, 416 10 2 ,416,10,2,skylar-thompson,https://www.sports-reference.com/cfb/players/skylar-thompson-1.html
22,Chazz Surratt," East Lincoln (Denver, NC)  ", DUAL , 6-3 / 210 ,0.8777, 419 11 17 ,419,11,17,chazz-surratt,https://www.sports-reference.com/cfb/players/chazz-surratt-1.html
23,Logan Byrd," Veterans (Kathleen, GA)  ", PRO , 6-3 / 229 ,0.8777, 421 17 38 ,421,17,38,logan-byrd,https://www.sports-reference.com/cfb/players/logan-byrd-1.html
51,Josh Jackson," Saline (Saline, MI)  ", DUAL , 6-2 / 200 ,0.8773, 426 12 12 ,426,12,12,josh-jackson,https://www.sports-reference.com/cfb/players/josh-jackson-1.html
8,Thomas MacVittie," Archbishop Moeller (Cincinnati, OH)  ", PRO , 6-4 / 210 ,0.8764, 431 18 15 ,431,18,15,thomas-macvittie,https://www.sports-reference.com/cfb/players/thomas-macvittie-1.html
25,Jake Zembiec," Aquinas Institute (Rochester, NY)  ", PRO , 6-3.5 / 211 ,0.8752, 446 19 1 ,446,19,1,jake-zembiec,https://www.sports-reference.com/cfb/players/jake-zembiec-1.html
47,Matt Fink," Glendora (Rancho Cucamonga, CA)  ", DUAL , 6-3 / 185 ,0.8739, 456 13 54 ,456,13,54,matt-fink,https://www.sports-reference.com/cfb/players/matt-fink-1.html
52,Jett Duffey," Lake Ridge (Mansfield, TX)  ", DUAL , 6-0 / 171 ,0.8726, 468 14 74 ,468,14,74,jett-duffey,https://www.sports-reference.com/cfb/players/jett-duffey-1.html
77,Xavier Gaines," Lake Wales (Lake Wales, FL)  ", DUAL , 6-2 / 200 ,0.8707, 484 15 66 ,484,15,66,xavier-gaines,https://www.sports-reference.com/cfb/players/xavier-gaines-1.html
28,Ian Book," Oak Ridge (El Dorado Hills, CA)  ", PRO , 6-1 / 200 ,0.8681, 517 20 58 ,517,20,58,ian-book,https://www.sports-reference.com/cfb/players/ian-book-1.html
30,Nick Starkel," Liberty Christian (Argyle, TX)  ", PRO , 6-3.5 / 186 ,0.8671, 523 21 80 ,523,21,80,nick-starkel,https://www.sports-reference.com/cfb/players/nick-starkel-1.html
65,Nathan Stanley," Menomonie (Menomonie, WI)  ", PRO , 6-4 / 200 ,0.867, 531 22 3 ,531,22,3,nathan-stanley,https://www.sports-reference.com/cfb/players/nathan-stanley-1.html
31,Tyler Huntley," Hallandale (Hallandale, FL)  ", PRO , 6-2 / 200 ,0.864, 565 23 83 ,565,23,83,tyler-huntley,https://www.sports-reference.com/cfb/players/tyler-huntley-1.html
37,Deuce Wallace," Sevier County (Sevierville, TN)  ", PRO , 6-2 / 200 ,0.864, 568 24 13 ,568,24,13,deuce-wallace,https://www.sports-reference.com/cfb/players/deuce-wallace-1.html
76,Armani Rogers," Hamilton (Los Angeles, CA)  ", DUAL , 6-6 / 200 ,0.8596, 632 16 67 ,632,16,67,armani-rogers,https://www.sports-reference.com/cfb/players/armani-rogers-1.html
29,Jamie Newman," Graham (Graham, NC)  ", DUAL , 6-3 / 219 ,0.8585, 649 17 30 ,649,17,30,jamie-newman,https://www.sports-reference.com/cfb/players/jamie-newman-1.html
36,Anthony Russo," Archbishop Wood (Warminster, PA)  ", PRO , 6-4 / 221 ,0.8584, 655 25 15 ,655,25,15,anthony-russo,https://www.sports-reference.com/cfb/players/anthony-russo-1.html
39,Justin Herbert," Sheldon (Eugene, OR)  ", PRO , 6-5 / 215 ,0.8584, 659 26 5 ,659,26,5,justin-herbert,https://www.sports-reference.com/cfb/players/justin-herbert-1.html
44,Brennen Wooten," Central (San Angelo, TX)  ", PRO , 6-1.5 / 191 ,0.8575, 668 27 98 ,668,27,98,brennen-wooten,https://www.sports-reference.com/cfb/players/brennen-wooten-1.html
63,Bowman Sells," Lovejoy (Allen, TX)  ", PRO , 6-3 / 200 ,0.8574, 676 28 100 ,676,28,100,bowman-sells,https://www.sports-reference.com/cfb/players/bowman-sells-1.html
40,Aidan Smith," Carroll (Fort Wayne, IN)  ", PRO , 6-2 / 175 ,0.8568, 684 29 10 ,684,29,10,aidan-smith,https://www.sports-reference.com/cfb/players/aidan-smith-1.html
60,Matt Lynch," Legacy (Broomfield, CO)  ", PRO , 6-5 / 190 ,0.8565, 690 30 3 ,690,30,3,matt-lynch,https://www.sports-reference.com/cfb/players/matt-lynch-1.html
74,Tylin Oden," Spring Hill (Columbia, TN)  ", PRO , 6-5 / 180 ,0.8564, 692 31 19 ,692,31,19,tylin-oden,https://www.sports-reference.com/cfb/players/tylin-oden-1.html
56,Mason Moran," Chandler (Chandler, AZ)  ", DUAL , 6-3 / 180 ,0.8558, 706 18 6 ,706,18,6,mason-moran,https://www.sports-reference.com/cfb/players/mason-moran-1.html
2,Josh Rosen," St. John Bosco (Bellflower, CA)  ", PRO , 6-4 / 205 ,0.9932, 11 1 3 ,11,1,3,josh-rosen,https://www.sports-reference.com/cfb/players/josh-rosen-1.html
3,Blake Barnett," Santiago (Corona, CA)  ", PRO , 6-4.5 / 200 ,0.9898, 22 2 6 ,22,2,6,blake-barnett,https://www.sports-reference.com/cfb/players/blake-barnett-1.html
4,Kyler Murray," Allen (Allen, TX)  ", DUAL , 5-10 / 180 ,0.9855, 34 1 5 ,34,1,5,kyler-murray,https://www.sports-reference.com/cfb/players/kyler-murray-1.html
1,Jarrett Stidham," Stephenville (Stephenville, TX)  ", DUAL , 6-4 / 195 ,0.983, 38 2 7 ,38,2,7,jarrett-stidham,https://www.sports-reference.com/cfb/players/jarrett-stidham-1.html
5,Brandon Wimbush," St. Peters Prep (Jersey City, NJ)  ", DUAL , 6-2 / 205 ,0.9792, 46 3 2 ,46,3,2,brandon-wimbush,https://www.sports-reference.com/cfb/players/brandon-wimbush-1.html
12,Deondre Francois," IMG Academy (Orlando, FL)  ", PRO , 6-1 / 195 ,0.9678, 66 3 11 ,66,3,11,deondre-francois,https://www.sports-reference.com/cfb/players/deondre-francois-1.html
7,Brady White," Hart (Santa Clarita, CA)  ", PRO , 6-0.5 / 180 ,0.9673, 68 4 10 ,68,4,10,brady-white,https://www.sports-reference.com/cfb/players/brady-white-1.html
11,Jake Browning," Folsom (Folsom, CA)  ", PRO , 6-2 / 185 ,0.9633, 73 5 13 ,73,5,13,jake-browning,https://www.sports-reference.com/cfb/players/jake-browning-1.html
6,Ricky Town," St. Bonaventure (Ventura, CA)  ", PRO , 6-3 / 206 ,0.9623, 79 6 15 ,79,6,15,ricky-town,https://www.sports-reference.com/cfb/players/ricky-town-1.html
10,Drew Lock," Lee's Summit Sr. (Lees Summit, MO)  ", PRO , 6-3.5 / 205 ,0.9553, 98 7 1 ,98,7,1,drew-lock,https://www.sports-reference.com/cfb/players/drew-lock-1.html
8,Travis Jonsen," Servite (Anaheim, CA)  ", DUAL , 6-2 / 189 ,0.9529, 102 4 18 ,102,4,18,travis-jonsen,https://www.sports-reference.com/cfb/players/travis-jonsen-1.html
13,Sam Darnold," San Clemente (San Clemente, CA)  ", DUAL , 6-3.5 / 208 ,0.9339, 148 5 21 ,148,5,21,sam-darnold,https://www.sports-reference.com/cfb/players/sam-darnold-1.html
9,Jauan Jennings," Blackman (Murfreesboro, TN)  ", DUAL , 6-4 / 188 ,0.9289, 164 6 7 ,164,6,7,jauan-jennings,https://www.sports-reference.com/cfb/players/jauan-jennings-1.html
32,Zach Gentry," Eldorado (Albuquerque, NM)  ", PRO , 6-7 / 230 ,0.9248, 174 8 1 ,174,8,1,zach-gentry,https://www.sports-reference.com/cfb/players/zach-gentry-1.html
16,Ty Storey," Charleston (Charleston, AR)  ", PRO , 6-3 / 216 ,0.9088, 237 9 5 ,237,9,5,ty-storey,https://www.sports-reference.com/cfb/players/ty-storey-1.html
17,Sheriron Jones," Rancho Verde (Moreno Valley, CA)  ", DUAL , 6-2.5 / 191 ,0.9075, 247 7 34 ,247,7,34,sheriron-jones,https://www.sports-reference.com/cfb/players/sheriron-jones-1.html
20,Brett Rypien," Shadle Park (Spokane, WA)  ", PRO , 6-2 / 185 ,0.9044, 261 10 5 ,261,10,5,brett-rypien,https://www.sports-reference.com/cfb/players/brett-rypien-1.html
14,Quinten Dormady," Boerne (Boerne, TX)  ", PRO , 6-4 / 200 ,0.9029, 271 11 40 ,271,11,40,quinten-dormady,https://www.sports-reference.com/cfb/players/quinten-dormady-1.html
15,Joe Burrow," Athens (The Plains, OH)  ", DUAL , 6-4 / 200 ,0.9003, 280 8 11 ,280,8,11,joe-burrow,https://www.sports-reference.com/cfb/players/joe-burrow-1.html
24,John Kolar," Norman North (Norman, OK)  ", DUAL , 6-3 / 195 ,0.8999, 286 9 5 ,286,9,5,john-kolar,https://www.sports-reference.com/cfb/players/john-kolar-1.html
22,Dwayne Lawson," Hillsborough (Tampa, FL)  ", PRO , 6-6 / 207 ,0.8993, 292 12 41 ,292,12,41,dwayne-lawson,https://www.sports-reference.com/cfb/players/dwayne-lawson-1.html
23,Kyle Shurmur," La Salle College (Glenside, PA)  ", PRO , 6-4 / 215 ,0.8992, 293 13 8 ,293,13,8,kyle-shurmur,https://www.sports-reference.com/cfb/players/kyle-shurmur-1.html
31,Alex Malzone," Brother Rice (Bloomfield Hills, MI)  ", PRO , 6-1.5 / 200 ,0.8984, 299 14 4 ,299,14,4,alex-malzone,https://www.sports-reference.com/cfb/players/alex-malzone-1.html
26,De'Andre Johnson," First Coast (Jacksonville, FL)  ", DUAL , 6-0 / 175 ,0.8843, 374 10 56 ,374,10,56,de'andre-johnson,https://www.sports-reference.com/cfb/players/de'andre-johnson-1.html
30,Tyler Queen," North Cobb (Kennesaw, GA)  ", PRO , 6-2 / 229 ,0.8832, 381 15 35 ,381,15,35,tyler-queen,https://www.sports-reference.com/cfb/players/tyler-queen-1.html
35,Brian Lewerke," Pinnacle (Phoenix, AZ)  ", PRO , 6-3 / 180 ,0.8819, 390 16 3 ,390,16,3,brian-lewerke,https://www.sports-reference.com/cfb/players/brian-lewerke-1.html
41,Anthony Ratliff-Williams," Butler (Matthews, NC)  ", DUAL , 6-1 / 205 ,0.8791, 405 11 10 ,405,11,10,anthony-ratliff-williams,https://www.sports-reference.com/cfb/players/anthony-ratliff-williams-1.html
18,Lamar Jackson," Boynton Beach Community (Boynton Beach, FL)  ", DUAL , 6-3 / 185 ,0.8788, 409 12 60 ,409,12,60,lamar-jackson,https://www.sports-reference.com/cfb/players/lamar-jackson-1.html
27,Kelly Bryant," Wren (Piedmont, SC)  ", DUAL , 6-4.25 / 205 ,0.8777, 420 13 7 ,420,13,7,kelly-bryant,https://www.sports-reference.com/cfb/players/kelly-bryant-1.html
21,Jason Pellerin," Catholic (New Iberia, LA)  ", DUAL , 6-4 / 215 ,0.8772, 428 14 22 ,428,14,22,jason-pellerin,https://www.sports-reference.com/cfb/players/jason-pellerin-1.html
28,Lorenzo Nunez," Harrison (Kennesaw, GA)  ", DUAL , 6-2.5 / 190 ,0.8761, 439 15 39 ,439,15,39,lorenzo-nunez,https://www.sports-reference.com/cfb/players/lorenzo-nunez-1.html
19,James Morgan," Ashwaubenon (Green Bay, WI)  ", PRO , 6-4 / 205 ,0.8741, 459 17 2 ,459,17,2,james-morgan,https://www.sports-reference.com/cfb/players/james-morgan-1.html
43,David Sills V," Eastern Christian (Elkton, MD)  ", PRO , 6-3 / 180 ,0.8711, 492 18 12 ,492,18,12,david-sills-v,https://www.sports-reference.com/cfb/players/david-sills-v-1.html
33,Chason Virgil," West Mesquite (Mesquite, TX)  ", PRO , 6-2 / 170 ,0.8696, 509 19 69 ,509,19,69,chason-virgil,https://www.sports-reference.com/cfb/players/chason-virgil-1.html
34,Ross Bowers," Bothell (Bothell, WA)  ", PRO , 6-2 / 185 ,0.8696, 510 20 10 ,510,20,10,ross-bowers,https://www.sports-reference.com/cfb/players/ross-bowers-1.html
36,Ross Trail," Wynne (Wynne, AR)  ", PRO , 6-3 / 200 ,0.8696, 512 21 6 ,512,21,6,ross-trail,https://www.sports-reference.com/cfb/players/ross-trail-1.html
59,Kyle Kearns," Foothill (Pleasanton, CA)  ", PRO , 6-3 / 195 ,0.8676, 528 22 65 ,528,22,65,kyle-kearns,https://www.sports-reference.com/cfb/players/kyle-kearns-1.html
29,Austin Kafentzis," Jordan (Sandy, UT)  ", DUAL , 6-1 / 200 ,0.8666, 544 16 7 ,544,16,7,austin-kafentzis,https://www.sports-reference.com/cfb/players/austin-kafentzis-1.html
53,Bryce Perkins," Chandler (Chandler, AZ)  ", DUAL , 6-2 / 200 ,0.8646, 565 17 7 ,565,17,7,bryce-perkins,https://www.sports-reference.com/cfb/players/bryce-perkins-1.html
47,Dion Ray," Helen Cox (Harvey, LA)  ", DUAL , 6-0 / 185 ,0.864, 582 18 31 ,582,18,31,dion-ray,https://www.sports-reference.com/cfb/players/dion-ray-1.html
49,Nick Johns," Gonzaga  (Washington, DC)  ", PRO , 6-3 / 215 ,0.8615, 614 23 7 ,614,23,7,nick-johns,https://www.sports-reference.com/cfb/players/nick-johns-1.html
44,Alex Delton," Hays (Hays, KS)  ", DUAL , 6-0 / 180 ,0.8609, 628 19 3 ,628,19,3,alex-delton,https://www.sports-reference.com/cfb/players/alex-delton-1.html
52,Tyler Hilinski," Upland (Sherman Oaks, CA)  ", PRO , 6-3 / 190 ,0.8608, 630 24 72 ,630,24,72,tyler-hilinski,https://www.sports-reference.com/cfb/players/tyler-hilinski-1.html
45,Eric Dungey," Lakeridge (Lake Oswego, OR)  ", DUAL , 6-4 / 195 ,0.86, 641 20 2 ,641,20,2,eric-dungey,https://www.sports-reference.com/cfb/players/eric-dungey-1.html
56,Tre Moore III," John Burroughs School (Saint Louis, MO)  ", DUAL , 6-3 / 180 ,0.8599, 645 21 8 ,645,21,8,tre-mooreiii,https://www.sports-reference.com/cfb/players/tre-mooreiii-1.html
50,Tommy Stevens," Decatur Central (Indianapolis, IN)  ", DUAL , 6-4 / 200 ,0.8599, 647 22 9 ,647,22,9,tommy-stevens,https://www.sports-reference.com/cfb/players/tommy-stevens-1.html
54,Michael Dare," Memorial (Elmwood Park, NJ)  ", PRO , 6-5 / 225 ,0.8583, 692 25 16 ,692,25,16,michael-dare,https://www.sports-reference.com/cfb/players/michael-dare-1.html
38,Ryan Willis," Bishop Miege (Mission, KS)  ", PRO , 6-4 / 195 ,0.8577, 701 26 4 ,701,26,4,ryan-willis,https://www.sports-reference.com/cfb/players/ryan-willis-1.html
61,Elijah Sindelar," Caldwell County (Princeton, KY)  ", PRO , 6-4 / 200 ,0.8565, 731 27 3 ,731,27,3,elijah-sindelar,https://www.sports-reference.com/cfb/players/elijah-sindelar-1.html
1,Kyle Allen," Desert Mountain (Scottsdale, AZ)  ", PRO , 6-3 / 200 ,0.9956, 8 1 1 ,8,1,1,kyle-allen,https://www.sports-reference.com/cfb/players/kyle-allen-1.html
7,Deshaun Watson," Gainesville (Gainesville, GA)  ", DUAL , 6-3 / 200 ,0.9794, 42 1 4 ,42,1,4,deshaun-watson,https://www.sports-reference.com/cfb/players/deshaun-watson-1.html
4,Will Grier," Davidson Day (Davidson, NC)  ", PRO , 6-2 / 190 ,0.9765, 48 2 2 ,48,2,2,will-grier,https://www.sports-reference.com/cfb/players/will-grier-1.html
2,Keller Chryst," Palo Alto (Palo Alto, CA)  ", PRO , 6-4 / 220 ,0.9753, 51 3 6 ,51,3,6,keller-chryst,https://www.sports-reference.com/cfb/players/keller-chryst-1.html
